operator,metric,value
EML,total,729
EML,ok,475
EML,domain_fail,216
EML,div_by_zero,0
EML,overflow,0
EML,nan,0
EML,failed_total,216
EML,max_rel_err,8.274037109604217e-08
EML,median_rel_err,0.0
EML,mean_rel_err,3.4838137711095935e-10
EML,p99_rel_err,5.956560644453556e-15
EDL,total,729
EDL,ok,450
EDL,domain_fail,216
EDL,div_by_zero,27
EDL,overflow,36
EDL,nan,0
EDL,failed_total,279
EDL,max_rel_err,8.274036439734451e-08
EDL,median_rel_err,1.3908700599256296e-16
EDL,mean_rel_err,9.193373962347505e-09
EDL,p99_rel_err,8.274036428350405e-08
DivLogExp,total,729
DivLogExp,ok,475
DivLogExp,domain_fail,216
DivLogExp,div_by_zero,0
DivLogExp,overflow,38
DivLogExp,nan,0
DivLogExp,failed_total,254
DivLogExp,max_rel_err,8.274037121856339e-08
DivLogExp,median_rel_err,1.2964310276506713e-16
DivLogExp,mean_rel_err,8.709512892785217e-09
DivLogExp,p99_rel_err,8.274037114336768e-08
